category,n_docs,min_cluster_size,is_scaled,umap_n_neighbors,umap_n_components,min_samples,n_topics,outlier_pct,config_name
cs.LG,1937,48,True,10,5,10,15,26.02,cs.LG_mcs48_nn10_nc5_ms10
cs.LG,1937,48,True,10,10,5,16,23.75,cs.LG_mcs48_nn10_nc10_ms5
cs.LG,1937,48,True,10,10,10,15,18.64,cs.LG_mcs48_nn10_nc10_ms10
cs.LG,1937,48,True,15,5,5,17,35.88,cs.LG_mcs48_nn15_nc5_ms5
cs.LG,1937,48,True,15,5,10,16,31.65,cs.LG_mcs48_nn15_nc5_ms10
cs.LG,1937,48,True,30,10,5,15,31.03,cs.LG_mcs48_nn30_nc10_ms5
cs.LG,1937,48,True,30,10,10,15,30.61,cs.LG_mcs48_nn30_nc10_ms10
cs.LG,1937,50,False,10,5,5,15,26.64,cs.LG_mcs50_nn10_nc5_ms5
cs.LG,1937,50,False,10,5,10,15,26.02,cs.LG_mcs50_nn10_nc5_ms10
cs.LG,1937,50,False,10,10,5,16,23.75,cs.LG_mcs50_nn10_nc10_ms5
cs.LG,1937,50,False,10,10,10,15,18.64,cs.LG_mcs50_nn10_nc10_ms10
cs.LG,1937,50,False,15,5,5,16,35.88,cs.LG_mcs50_nn15_nc5_ms5
cs.LG,1937,50,False,15,5,10,15,31.65,cs.LG_mcs50_nn15_nc5_ms10
cs.LG,1937,50,False,30,10,5,15,31.03,cs.LG_mcs50_nn30_nc10_ms5
cs.LG,1937,50,False,30,10,10,15,30.61,cs.LG_mcs50_nn30_nc10_ms10
cs.CV,1250,30,False,10,5,5,15,27.36,cs.CV_mcs30_nn10_nc5_ms5
cs.CV,1250,30,False,10,5,10,15,27.36,cs.CV_mcs30_nn10_nc5_ms10
cs.CV,1250,30,False,10,10,5,16,39.28,cs.CV_mcs30_nn10_nc10_ms5
cs.CV,1250,30,False,15,5,5,16,32.64,cs.CV_mcs30_nn15_nc5_ms5
cs.CV,1250,30,False,15,5,10,16,32.16,cs.CV_mcs30_nn15_nc5_ms10
cs.CV,1250,30,False,15,10,5,17,27.92,cs.CV_mcs30_nn15_nc10_ms5
cs.CV,1250,30,False,15,10,10,15,26.88,cs.CV_mcs30_nn15_nc10_ms10
