category,n_docs,min_cluster_size,is_scaled,umap_n_neighbors,umap_n_components,min_samples,n_topics,outlier_pct,config_name
cs.LG,10746,50,False,30,5,10,42,34.66,cs.LG_mcs50_nn30_nc5_ms10
cs.LG,10746,50,False,30,10,5,42,28.89,cs.LG_mcs50_nn30_nc10_ms5
cs.LG,10746,50,False,30,10,10,40,30.82,cs.LG_mcs50_nn30_nc10_ms10
cs.LG,10746,80,False,10,5,5,30,17.9,cs.LG_mcs80_nn10_nc5_ms5
cs.LG,10746,80,False,10,5,10,28,16.49,cs.LG_mcs80_nn10_nc5_ms10
cs.LG,10746,80,False,10,10,5,31,16.49,cs.LG_mcs80_nn10_nc10_ms5
cs.LG,10746,80,False,10,10,10,33,19.54,cs.LG_mcs80_nn10_nc10_ms10
cs.LG,10746,80,False,15,5,5,34,26.7,cs.LG_mcs80_nn15_nc5_ms5
cs.LG,10746,80,False,15,5,10,33,26.95,cs.LG_mcs80_nn15_nc5_ms10
cs.LG,10746,80,False,15,10,5,36,26.98,cs.LG_mcs80_nn15_nc10_ms5
cs.LG,10746,80,False,15,10,10,33,26.67,cs.LG_mcs80_nn15_nc10_ms10
cs.LG,10746,80,False,30,5,5,35,29.83,cs.LG_mcs80_nn30_nc5_ms5
cs.LG,10746,80,False,30,5,10,30,24.39,cs.LG_mcs80_nn30_nc5_ms10
cs.LG,10746,80,False,30,10,5,31,28.31,cs.LG_mcs80_nn30_nc10_ms5
cs.LG,10746,80,False,30,10,10,31,28.54,cs.LG_mcs80_nn30_nc10_ms10
cs.LG,10746,120,False,10,5,5,24,17.01,cs.LG_mcs120_nn10_nc5_ms5
cs.LG,10746,120,False,10,5,10,25,18.5,cs.LG_mcs120_nn10_nc5_ms10
cs.LG,10746,120,False,10,10,5,23,15.81,cs.LG_mcs120_nn10_nc10_ms5
cs.LG,10746,120,False,10,10,10,25,17.23,cs.LG_mcs120_nn10_nc10_ms10
cs.LG,10746,120,False,15,5,5,26,27.42,cs.LG_mcs120_nn15_nc5_ms5
cs.LG,10746,120,False,15,5,10,26,27.37,cs.LG_mcs120_nn15_nc5_ms10
cs.LG,10746,120,False,15,10,5,23,17.95,cs.LG_mcs120_nn15_nc10_ms5
cs.LG,10746,120,False,15,10,10,26,23.93,cs.LG_mcs120_nn15_nc10_ms10
cs.LG,10746,120,False,30,5,5,25,25.89,cs.LG_mcs120_nn30_nc5_ms5
cs.LG,10746,120,False,30,5,10,25,25.13,cs.LG_mcs120_nn30_nc5_ms10
cs.LG,10746,120,False,30,10,5,23,31.03,cs.LG_mcs120_nn30_nc10_ms5
cs.LG,10746,120,False,30,10,10,24,29.95,cs.LG_mcs120_nn30_nc10_ms10
cs.LG,10746,200,False,10,5,5,14,21.1,cs.LG_mcs200_nn10_nc5_ms5
cs.LG,10746,200,False,10,5,10,14,21.99,cs.LG_mcs200_nn10_nc5_ms10
cs.LG,10746,200,False,10,10,5,15,23.94,cs.LG_mcs200_nn10_nc10_ms5
cs.LG,10746,200,False,10,10,10,15,22.73,cs.LG_mcs200_nn10_nc10_ms10
cs.LG,10746,200,False,15,5,5,13,19.7,cs.LG_mcs200_nn15_nc5_ms5
cs.LG,10746,200,False,15,5,10,12,23.35,cs.LG_mcs200_nn15_nc5_ms10
cs.LG,10746,200,False,15,10,5,15,23.6,cs.LG_mcs200_nn15_nc10_ms5
cs.LG,10746,200,False,15,10,10,16,32.55,cs.LG_mcs200_nn15_nc10_ms10
cs.LG,10746,200,False,30,5,5,18,27.96,cs.LG_mcs200_nn30_nc5_ms5
cs.LG,10746,200,False,30,5,10,18,29.04,cs.LG_mcs200_nn30_nc5_ms10
cs.LG,10746,200,False,30,10,5,15,25.87,cs.LG_mcs200_nn30_nc10_ms5
cs.LG,10746,200,False,30,10,10,12,20.76,cs.LG_mcs200_nn30_nc10_ms10
cs.LG,10746,268,True,10,5,5,13,19.43,cs.LG_mcs268_nn10_nc5_ms5
cs.LG,10746,268,True,10,5,10,12,19.98,cs.LG_mcs268_nn10_nc5_ms10
cs.LG,10746,268,True,10,10,5,13,23.11,cs.LG_mcs268_nn10_nc10_ms5
cs.LG,10746,268,True,10,10,10,13,22.41,cs.LG_mcs268_nn10_nc10_ms10
cs.LG,10746,268,True,15,5,5,11,19.45,cs.LG_mcs268_nn15_nc5_ms5
cs.LG,10746,268,True,15,5,10,11,23.3,cs.LG_mcs268_nn15_nc5_ms10
cs.LG,10746,268,True,15,10,5,13,28.29,cs.LG_mcs268_nn15_nc10_ms5
cs.LG,10746,268,True,15,10,10,13,32.52,cs.LG_mcs268_nn15_nc10_ms10
cs.LG,10746,268,True,30,5,5,11,20.04,cs.LG_mcs268_nn30_nc5_ms5
