category,n_docs,min_cluster_size,is_scaled,umap_n_neighbors,umap_n_components,min_samples,n_topics,outlier_pct,config_name
cs.DB,1768,44,True,15,5,5,15,31.28,cs.DB_mcs44_nn15_nc5_ms5
cs.DB,1768,44,True,15,5,10,13,25.34,cs.DB_mcs44_nn15_nc5_ms10
cs.DB,1768,44,True,15,10,5,11,30.2,cs.DB_mcs44_nn15_nc10_ms5
cs.DB,1768,44,True,15,10,10,12,27.09,cs.DB_mcs44_nn15_nc10_ms10
cs.DB,1768,44,True,30,5,5,14,34.95,cs.DB_mcs44_nn30_nc5_ms5
cs.DB,1768,44,True,30,5,10,12,29.81,cs.DB_mcs44_nn30_nc5_ms10
cs.DB,1768,44,True,30,10,5,13,24.66,cs.DB_mcs44_nn30_nc10_ms5
cs.DB,1768,44,True,30,10,10,11,26.13,cs.DB_mcs44_nn30_nc10_ms10
cs.DB,1768,50,False,10,5,5,12,26.47,cs.DB_mcs50_nn10_nc5_ms5
cs.DB,1768,50,False,10,5,10,12,25.28,cs.DB_mcs50_nn10_nc5_ms10
cs.DB,1768,50,False,10,10,5,13,27.71,cs.DB_mcs50_nn10_nc10_ms5
cs.DB,1768,50,False,10,10,10,12,21.89,cs.DB_mcs50_nn10_nc10_ms10
cs.DB,1768,50,False,15,5,5,14,31.28,cs.DB_mcs50_nn15_nc5_ms5
cs.DB,1768,50,False,15,5,10,12,25.34,cs.DB_mcs50_nn15_nc5_ms10
cs.DB,1768,50,False,15,10,5,9,28.28,cs.DB_mcs50_nn15_nc10_ms5
cs.DB,1768,50,False,15,10,10,10,25.17,cs.DB_mcs50_nn15_nc10_ms10
cs.DB,1768,50,False,30,5,5,13,37.5,cs.DB_mcs50_nn30_nc5_ms5
cs.DB,1768,50,False,30,5,10,11,32.35,cs.DB_mcs50_nn30_nc5_ms10
cs.DB,1768,50,False,30,10,5,12,27.21,cs.DB_mcs50_nn30_nc10_ms5
cs.DB,1768,50,False,30,10,10,10,28.68,cs.DB_mcs50_nn30_nc10_ms10
cs.DB,1768,80,False,10,5,5,5,31.67,cs.DB_mcs80_nn10_nc5_ms5
cs.DB,1768,80,False,10,5,10,5,31.67,cs.DB_mcs80_nn10_nc5_ms10
cs.DB,1768,80,False,10,10,5,5,31.11,cs.DB_mcs80_nn10_nc10_ms5
cs.DB,1768,80,False,10,10,10,5,32.41,cs.DB_mcs80_nn10_nc10_ms10
cs.DB,1768,80,False,15,5,5,5,46.44,cs.DB_mcs80_nn15_nc5_ms5
